Club,Country,C_2015-16,C_2016-17,C_2017-18,C_2018-19,C_Country
Real Madrid,Spain,33.0,33.0,32.0,19.0,19.542
Barcelona,Spain,26.0,23.0,25.0,30.0,19.542
Bayern Munich,Germany,29.0,22.0,29.0,20.0,13.699000000000002
Atlético Madrid,Spain,28.0,29.0,28.0,20.0,19.542
Juventus,Italy,18.0,33.0,23.0,21.0,13.302
Manchester City,England,26.0,18.0,22.0,25.0,17.292
Paris Saint-Germain,France,24.0,20.0,19.0,19.0,11.216
Liverpool,England,22.0,0.0001,30.0,29.0,17.292
Tottenham Hotspur,England,12.0,10.0,21.0,26.0,17.292
Chelsea,England,18.0,0.0001,18.0,30.0,17.292
Borussia Dortmund,Germany,17.0,22.0,10.0,18.0,13.699000000000002
