Club,Pos,Pts,GD,Qualify,Standing
Atlético Madrid_2014-15,3.0,13.0,11.0,1.0,3.0
Atlético Madrid_2015-16,3.0,13.0,8.0,1.0,5.0
Atlético Madrid_2016-17,3.0,15.0,5.0,1.0,4.0
Atlético Madrid_2017-18,1.0,7.0,1.0,0.0,1.0
Atlético Madrid_2018-19,2.0,13.0,3.0,1.0,2.0
Barcelona_2014-15,3.0,15.0,10.0,1.0,5.0
Barcelona_2015-16,3.0,14.0,11.0,1.0,3.0
Barcelona_2016-17,3.0,15.0,16.0,1.0,3.0
Barcelona_2017-18,3.0,14.0,8.0,1.0,3.0
Barcelona_2018-19,3.0,14.0,9.0,1.0,4.0
Bayern Munich_2014-15,3.0,15.0,12.0,1.0,4.0
Bayern Munich_2015-16,3.0,15.0,16.0,1.0,4.0
Bayern Munich_2016-17,2.0,12.0,8.0,1.0,3.0
Bayern Munich_2017-18,2.0,15.0,7.0,1.0,4.0
Bayern Munich_2018-19,3.0,14.0,10.0,1.0,2.0
Borussia Dortmund_2014-15,3.0,13.0,10.0,1.0,2.0
Borussia Dortmund_2016-17,3.0,14.0,12.0,1.0,3.0
Borussia Dortmund_2017-18,1.0,2.0,-6.0,0.0,1.0
Borussia Dortmund_2018-19,3.0,13.0,8.0,1.0,2.0
Chelsea_2014-15,3.0,14.0,14.0,1.0,2.0
Chelsea_2015-16,3.0,13.0,10.0,1.0,2.0
Chelsea_2017-18,2.0,11.0,8.0,1.0,2.0
Juventus_2014-15,2.0,10.0,3.0,1.0,5.0
Juventus_2015-16,2.0,11.0,3.0,1.0,2.0
Juventus_2016-17,3.0,14.0,9.0,1.0,5.0
Juventus_2017-18,2.0,11.0,2.0,1.0,3.0
Juventus_2018-19,3.0,12.0,5.0,1.0,3.0
Liverpool_2014-15,1.0,5.0,-4.0,0.0,1.0
Liverpool_2017-18,3.0,12.0,17.0,1.0,5.0
Liverpool_2018-19,2.0,9.0,2.0,1.0,5.0
Manchester City_2014-15,2.0,8.0,1.0,1.0,2.0
Manchester City_2015-16,3.0,12.0,4.0,1.0,4.0
Manchester City_2016-17,2.0,9.0,2.0,1.0,2.0
Manchester City_2017-18,3.0,15.0,9.0,1.0,3.0
Manchester City_2018-19,3.0,13.0,10.0,1.0,3.0
Paris Saint-Germain_2014-15,2.0,13.0,3.0,1.0,3.0
Paris Saint-Germain_2015-16,2.0,13.0,11.0,1.0,3.0
Paris Saint-Germain_2016-17,2.0,12.0,6.0,1.0,2.0
Paris Saint-Germain_2017-18,3.0,15.0,21.0,1.0,2.0
Paris Saint-Germain_2018-19,3.0,11.0,8.0,1.0,2.0
Real Madrid_2014-15,3.0,18.0,14.0,1.0,4.0
Real Madrid_2015-16,3.0,16.0,16.0,1.0,5.0
Real Madrid_2016-17,2.0,12.0,6.0,1.0,5.0
Real Madrid_2017-18,2.0,13.0,10.0,1.0,5.0
Real Madrid_2018-19,3.0,12.0,7.0,1.0,2.0
Tottenham Hotspur_2016-17,1.0,7.0,0.0,0.0,1.0
Tottenham Hotspur_2017-18,3.0,16.0,11.0,1.0,2.0
Tottenham Hotspur_2018-19,2.0,8.0,-1.0,1.0,5.0
